,Datum,Song,Interpret
93,"24.09.2021,21.46 Uhr",Skate,Bruno Mars & Anderson Paak feat. Silk Sonic
94,"24.09.2021,21.50 Uhr",Abacab,Genesis
95,"24.09.2021,21.57 Uhr",Easy,Kyd the Band feat. Elley Duhé
96,"24.09.2021,22.06 Uhr",It's not living (If it's not with you),The 1975
97,"24.09.2021,22.10 Uhr",Unbreakable,Stefanie Heinzmann
98,"24.09.2021,22.13 Uhr",Waiting on a war,Foo Fighters
99,"24.09.2021,22.21 Uhr",Kings & Queens,Ava Max
100,"28.09.2021,14.05 Uhr",Can we pretend,Pink feat. Cash Cash
101,"28.09.2021,14.09 Uhr",Jessie,Joshua Kadison
102,"28.09.2021,14.18 Uhr",River,Tom Gregory
103,"28.09.2021,14.21 Uhr",Hello,Adele
104,"28.09.2021,14.25 Uhr",Can't fight the moonlight,LeAnn Rimes
105,"28.09.2021,14.35 Uhr",Bad Habits,Ed Sheeran
106,"28.09.2021,14.39 Uhr",Listen to your heart,Roxette
107,"28.09.2021,14.47 Uhr",Take my breath,The Weeknd
108,"28.09.2021,14.50 Uhr",Love me like you do,Ellie Goulding
109,"28.09.2021,14.54 Uhr",Tubthumping,Chumbawamba
110,"29.09.2021,10.47 Uhr",All i know so far,Pink
111,"29.09.2021,10.50 Uhr",Right here waiting,Richard Marx
112,"29.09.2021,10.55 Uhr",Bye bye,Sarah Connor
113,"29.09.2021,11.05 Uhr",Dance Monkey,Tones And I
114,"29.09.2021,11.09 Uhr",Runaway train,Soul Asylum
115,"29.09.2021,11.13 Uhr",Want to want me,Jason Derulo
116,"29.09.2021,11.20 Uhr",Drei Uhr Nachts,Mark Forster x LEA
117,"29.09.2021,11.23 Uhr","No, no, never",Texas Lightning
118,"29.09.2021,11.25 Uhr",Love to Go,Lost Frequencies feat. Zonderling & Kelvin Jones
119,"29.09.2021,11.36 Uhr",We are the people,Martin Garrix feat. Bono & The Edge
120,"29.09.2021,11.39 Uhr",She's like the wind,Patrick Swayze
121,"29.09.2021,11.43 Uhr",Locked out of heaven,Bruno Mars
122,"29.09.2021,11.48 Uhr",Kiss me,Sixpence None The Richer
123,"29.09.2021,11.53 Uhr",Take my breath,The Weeknd
124,"29.09.2021,12.05 Uhr",Higher power,Coldplay
125,"29.09.2021,12.08 Uhr",Underneath your clothes,Shakira
126,"29.09.2021,12.12 Uhr",Play with fire,Nico Santos
127,"29.09.2021,12.18 Uhr",You can't hurry love,Phil Collins
128,"29.09.2021,12.20 Uhr",EveryTime I Cry,Ava Max
129,"29.09.2021,12.24 Uhr",Someone like you,Adele
130,"29.09.2021,12.35 Uhr",Der letzte Tanz,Bosse
131,"29.09.2021,12.39 Uhr",Nothing compares 2 U,Sinead O'Connor
132,"29.09.2021,12.42 Uhr",Shape of you,Ed Sheeran
133,"29.09.2021,12.48 Uhr",Habit,Laurell
134,"29.09.2021,12.52 Uhr",I Need You To Hate Me,JC Stewart
135,"29.09.2021,12.55 Uhr",Another one bites the dust,Queen
136,"29.09.2021,13.06 Uhr",Lovefool,Twocolors
137,"29.09.2021,13.09 Uhr",Waterfalls,TLC
138,"29.09.2021,13.17 Uhr",Throwback,Michael Patrick Kelly
139,"29.09.2021,13.20 Uhr",Shake it off,Taylor Swift
140,"29.09.2021,13.25 Uhr",Memories,Maroon 5
141,"29.09.2021,13.35 Uhr",Magia,Alvaro Soler
142,"29.09.2021,13.38 Uhr",You get what you give,New Radicals
143,"29.09.2021,13.45 Uhr",Willkommen zurück,Clueso x Andreas Bourani
144,"29.09.2021,13.47 Uhr",Walking on sunshine,Katrina & The Waves
145,"29.09.2021,13.54 Uhr",Girls like us,Zoe Wees
146,"29.09.2021,14.05 Uhr",Iko iko,Justin Wellington feat. Small Jam
147,"29.09.2021,14.08 Uhr",You don't know,Milow
148,"29.09.2021,14.15 Uhr",Higher love,Kygo feat. Whitney Houston
