,Datum,Song,Interpret
398,"04.12.2021,15.09 Uhr",Perfekte Welle,Juli
399,"04.12.2021,15.20 Uhr",Blurry eyes,Michael Patrick Kelly
400,"04.12.2021,15.24 Uhr",Love again,Dua Lipa
401,"04.12.2021,15.40 Uhr",Overload,Sugababes
402,"04.12.2021,11.06 Uhr",Higher power,Coldplay
403,"04.12.2021,11.16 Uhr",I've had the time of my life,Bill Medley & Jennifer Warnes
404,"04.12.2021,11.34 Uhr",We are the people,Martin Garrix feat. Bono & The Edge
405,"04.12.2021,11.44 Uhr",Hey little girl,Icehouse
406,"04.12.2021,11.49 Uhr",Something in the water,Brooke Fraser
407,"04.12.2021,12.05 Uhr",EveryTime I Cry,Ava Max
408,"04.12.2021,12.20 Uhr",I will always love you,Whitney Houston
409,"04.12.2021,12.34 Uhr",Bye bye,Sarah Connor
410,"04.12.2021,12.43 Uhr",Take my breath,The Weeknd
411,"04.12.2021,12.52 Uhr",DeLorean,Milow
412,"04.12.2021,13.17 Uhr",Wonderful christmas time,Paul McCartney
413,"04.12.2021,13.20 Uhr",Shivers,Ed Sheeran
414,"04.12.2021,13.34 Uhr",Stay,The Kid LAROI & Justin Bieber
415,"04.12.2021,13.41 Uhr",My Universe,Coldplay X BTS
416,"04.12.2021,13.49 Uhr",Forever Yours,Kygo feat. Avicii & Sandro Cavazza
417,"04.12.2021,14.06 Uhr",Take You Dancing,Jason Derulo
418,"04.12.2021,14.16 Uhr",Would I lie to you,Nico Santos
419,"04.12.2021,14.35 Uhr",Salt,Ava Max
420,"04.12.2021,14.38 Uhr",Could you be loved,Bob Marley & The Wailers
421,"04.12.2021,14.46 Uhr",Vom selben Stern,Ich & Ich
422,"04.12.2021,15.06 Uhr",Only Human,Jonas Brothers
423,"04.12.2021,15.14 Uhr",Footloose,Kenny Loggins
424,"04.12.2021,15.33 Uhr",Bad Habits,Ed Sheeran
425,"04.12.2021,15.48 Uhr",Where are you now,Lost Frequencies x Calum Scott
426,"04.12.2021,15.54 Uhr",Fading like a flower,Roxette
427,"04.12.2021,16.25 Uhr",Better days,Dermot Kennedy
428,"04.12.2021,16.31 Uhr",Higher power,Coldplay
429,"04.12.2021,16.49 Uhr",Dopamine,Purple Disco Machine feat. Eyelar
430,"04.12.2021,17.25 Uhr",Magia,Alvaro Soler
431,"04.12.2021,17.34 Uhr",DeLorean,Milow
432,"04.12.2021,17.47 Uhr",Easy on me,Adele
433,"04.12.2021,17.55 Uhr",Shivers,Ed Sheeran
434,"04.12.2021,18.05 Uhr",EveryTime I Cry,Ava Max
435,"04.12.2021,18.12 Uhr",Sorry,Madonna
436,"04.12.2021,18.25 Uhr",Walking on a dream,Empire Of The Sun
437,"04.12.2021,18.32 Uhr",If You Really Love Me (How Will I Know),David Guetta x MistaJam x John Newman
438,"04.12.2021,18.44 Uhr",Footprints,Tom Gregory
439,"04.12.2021,18.54 Uhr",Change,Daniel Merriweather
440,"04.12.2021,18.57 Uhr",Ecuador,Sash!
441,"04.12.2021,19.11 Uhr",Jennie,Felix Jaehn feat. R.City & Bori
442,"04.12.2021,16.20 Uhr",Love tonight,Shouse
443,"04.12.2021,17.28 Uhr",Alles aus Liebe,Die Toten Hosen
444,"04.12.2021,17.40 Uhr",Shake it off,Taylor Swift
445,"04.12.2021,17.50 Uhr",Come on Eileen,Dexys Midnight Runners
446,"04.12.2021,18.08 Uhr",Kiss me,Rea Garvey
447,"04.12.2021,18.17 Uhr",'74 - '75,The Connells
448,"04.12.2021,18.21 Uhr",Alright,Alle Farben feat. KIDDO
449,"04.12.2021,18.35 Uhr",Superstar,Jamelia
450,"04.12.2021,18.38 Uhr",Faded Love,Leony
451,"04.12.2021,18.40 Uhr",Oh child,Robin Schulz
452,"04.12.2021,18.47 Uhr",What a feeling,Irene Cara
453,"04.12.2021,18.51 Uhr",Love to Go,Lost Frequencies feat. Zonderling & Kelvin Jones
454,"04.12.2021,19.06 Uhr",Stay,The Kid LAROI & Justin Bieber
455,"04.12.2021,19.08 Uhr",Sucker,Jonas Brothers
456,"04.12.2021,19.17 Uhr",Breakfast at Tiffany's,Deep Blue Something
457,"04.12.2021,19.22 Uhr",My Universe,Coldplay X BTS
458,"04.12.2021,19.32 Uhr",Colorado,Milky Chance
459,"04.12.2021,19.40 Uhr",Stack it up,Liam Payne
460,"04.12.2021,19.25 Uhr",In my head,Jason Derulo
461,"04.12.2021,19.28 Uhr",Breaking me,Topic feat. A7S
462,"04.12.2021,19.35 Uhr",A night like this,Caro Emerald
463,"04.12.2021,19.43 Uhr",Sag mir was Du willst,Clueso
464,"04.12.2021,19.46 Uhr",Mystify,Inxs
465,"04.12.2021,19.50 Uhr",Brooklyn,Glockenbach x ClockClock
466,"04.12.2021,19.58 Uhr",For a better day,Avicii
467,"04.12.2021,20.08 Uhr",Show me love,Sam Feldt feat. Kimberly Anne
468,"04.12.2021,20.18 Uhr",Fable,Robert Miles
469,"04.12.2021,20.23 Uhr",Habit,Laurell
470,"04.12.2021,20.39 Uhr",Somewhere over the rainbow,Robin Schulz & Alle Farben & Israel Kamakawiwo'ole
471,"04.12.2021,20.46 Uhr",We are the people,Martin Garrix feat. Bono & The Edge
472,"04.12.2021,20.57 Uhr",You need to calm down,Taylor Swift
473,"04.12.2021,21.09 Uhr",Everything you didn't do,Jamie Cullum
474,"04.12.2021,21.12 Uhr",Moth To A Flame,Swedish House Mafia & The Weeknd
475,"04.12.2021,21.27 Uhr",Kings & Queens,Ava Max
476,"04.12.2021,21.38 Uhr",Phil Drums in the Mix Vol. 565,DJ Phil Drums
477,"04.12.2021,21.05 Uhr",Following The Sun,SUPER-Hi x Neeka
478,"04.12.2021,21.19 Uhr",Hey little girl,Mathias Schaffhäuser
479,"04.12.2021,21.23 Uhr",Bailando,Loona
480,"04.12.2021,21.29 Uhr",It's automatic,Zoot Woman
481,"04.12.2021,21.34 Uhr",Forget you,Cee Lo Green
482,"04.12.2021,21.57 Uhr",I don't feel like dancin,Scissor Sisters
483,"04.12.2021,22.05 Uhr",Adore you,Harry Styles
484,"04.12.2021,22.14 Uhr",Bootylicious,Destiny's Child
485,"04.12.2021,22.25 Uhr",History,Michael Jackson
486,"04.12.2021,22.33 Uhr",SOS,Avicii feat. Aloe Blacc
487,"04.12.2021,22.42 Uhr",Powerful,Major Lazer feat. Ellie Goulding & Tarrus Riley
488,"04.12.2021,22.50 Uhr",Dance Monkey,Tones And I
489,"04.12.2021,22.56 Uhr",Young folks,Peter Bjorn and John
490,"04.12.2021,23.11 Uhr",Your Love (9PM),ATB x Topic x A7S
491,"04.12.2021,23.19 Uhr",OK,Robin Schulz feat. James Blunt
492,"04.12.2021,23.30 Uhr",Holding back,SG Lewis & Gallant
493,"04.12.2021,23.39 Uhr",BED,Joel Corry x RAYE x David Guetta
494,"04.12.2021,23.43 Uhr",Phil Drums in the Mix Vol. 566,DJ Phil Drums
495,"05.12.2021,00.08 Uhr",Changes,Faul & Wad Ad vs. Pnau
496,"05.12.2021,00.16 Uhr",All I want for Christmas is you,Mariah Carey
497,"05.12.2021,00.27 Uhr",No son of mine,Genesis
498,"05.12.2021,00.37 Uhr",Mercy,Duffy
499,"05.12.2021,00.45 Uhr",Rolling in the deep,Adele
500,"05.12.2021,00.54 Uhr",Stillness of heart,Lenny Kravitz
501,"05.12.2021,01.05 Uhr",Thats what I want,Lil Nas X
502,"05.12.2021,01.14 Uhr",Kings & Queens,Ava Max
503,"05.12.2021,01.19 Uhr",Blinding lights,The Weeknd
504,"05.12.2021,01.33 Uhr",These are the days,O-Town
505,"05.12.2021,01.44 Uhr",Learn to say no,Kayma
506,"05.12.2021,01.52 Uhr",Nobody wants to be lonely,Ricky Martin & Christina Aguilera
507,"05.12.2021,01.56 Uhr",Driver’s license,Olivia Rodrigo
508,"05.12.2021,02.12 Uhr",Can't stop Christmas,Robbie Williams
509,"05.12.2021,02.23 Uhr","Allein, allein",Polarkreis 18
510,"05.12.2021,02.31 Uhr",Sweet hurt,Jack Savoretti
511,"05.12.2021,02.17 Uhr",Lose control,Meduza & Becky Hill & Goodboys
512,"05.12.2021,02.19 Uhr",Alien,Dennis Lloyd
513,"05.12.2021,02.26 Uhr",Summer of 19,Pelican X Sherwee X Ann Christine
514,"05.12.2021,02.29 Uhr",Hymn for the weekend,Coldplay
515,"05.12.2021,02.29 Uhr",Without you,Avicii feat. Sandro Cavazza
516,"05.12.2021,02.34 Uhr",Only human,Jonas Brothers
517,"05.12.2021,02.37 Uhr",Dopamine,Purple Disco Machine Feat. Eyelar
518,"05.12.2021,02.41 Uhr",Billie Jean,Michael Jackson
519,"05.12.2021,02.51 Uhr",Keeping your head up,Birdy
520,"05.12.2021,02.56 Uhr",Island,Alice Merton
521,"04.12.2021,20.16 Uhr",Sing,Ed Sheeran
522,"04.12.2021,20.18 Uhr",Fable,Robert Miles
523,"04.12.2021,20.23 Uhr",Habit,Laurell
524,"04.12.2021,20.30 Uhr",Súbeme la radio,Enrique Iglesias feat. Zion Descemer Bueno & Lennox
525,"04.12.2021,20.34 Uhr",Tukka Yoot's riddim,Us3
526,"04.12.2021,20.39 Uhr",Somewhere over the rainbow,Robin Schulz & Alle Farben & Israel Kamakawiwo'ole
527,"04.12.2021,20.43 Uhr",Move your feet,Junior Senior
528,"04.12.2021,20.46 Uhr",We are the people,Martin Garrix feat. Bono & The Edge
529,"04.12.2021,20.50 Uhr",Justified and ancient,The KLF feat. Tammy Wynette
530,"04.12.2021,20.54 Uhr",Suit & tie,Justin Timberlake
531,"04.12.2021,20.57 Uhr",You need to calm down,Taylor Swift
532,"04.12.2021,21.05 Uhr",Following The Sun,SUPER-Hi x Neeka
533,"04.12.2021,21.09 Uhr",Everything you didn't do,Jamie Cullum
534,"04.12.2021,21.12 Uhr",Moth To A Flame,Swedish House Mafia & The Weeknd
535,"04.12.2021,21.19 Uhr",Hey little girl,Mathias Schaffhäuser
536,"04.12.2021,21.23 Uhr",Bailando,Loona
537,"04.12.2021,21.27 Uhr",Kings & Queens,Ava Max
538,"04.12.2021,21.29 Uhr",It's automatic,Zoot Woman
539,"04.12.2021,21.34 Uhr",Forget you,Cee Lo Green
540,"04.12.2021,21.38 Uhr",Phil Drums in the Mix Vol. 565,DJ Phil Drums
541,"04.12.2021,21.50 Uhr",I like to move it,Reel 2 Real
542,"04.12.2021,21.54 Uhr",Love me now,Kygo feat. Zoe Wees
543,"04.12.2021,21.57 Uhr",I don't feel like dancin,Scissor Sisters
544,"04.12.2021,22.05 Uhr",Adore you,Harry Styles
545,"04.12.2021,22.09 Uhr",Your Favourite Song,YOUNOTUS feat. Julian Perretta
546,"04.12.2021,22.11 Uhr",Friday (Dopamine Re-Edit),Riton x Nightcrawlers feat. Mufasa & Hypeman
547,"04.12.2021,22.14 Uhr",Bootylicious,Destiny's Child
548,"04.12.2021,22.17 Uhr",Team,Lorde
549,"04.12.2021,22.25 Uhr",History,Michael Jackson
550,"04.12.2021,22.29 Uhr",Physical,Dua Lipa
551,"04.12.2021,22.33 Uhr",SOS,Avicii feat. Aloe Blacc
552,"04.12.2021,22.35 Uhr",If everybody looked the same,Groove Armada
553,"04.12.2021,22.39 Uhr",By your side,Calvin Harris feat. Tom Grennan
554,"04.12.2021,22.42 Uhr",Powerful,Major Lazer feat. Ellie Goulding & Tarrus Riley
555,"04.12.2021,22.45 Uhr",Kaleidoscope skies,Jam & Spoon
556,"04.12.2021,22.50 Uhr",Dance Monkey,Tones And I
557,"04.12.2021,22.53 Uhr",Sunflower,Rex Orange County
558,"04.12.2021,22.56 Uhr",Young folks,Peter Bjorn and John
559,"04.12.2021,23.04 Uhr",ily (i love you baby),Surf Mesa feat. Emilee
560,"04.12.2021,23.07 Uhr",6 underground,Sneaker Pimps
561,"04.12.2021,23.11 Uhr",Your Love (9PM),ATB x Topic x A7S
562,"04.12.2021,23.16 Uhr",Toxic,Britney Spears
563,"04.12.2021,23.19 Uhr",OK,Robin Schulz feat. James Blunt
564,"04.12.2021,23.22 Uhr",Heat waves,Glass Animals
565,"04.12.2021,23.25 Uhr",One & one,Robert Miles
566,"04.12.2021,23.30 Uhr",Holding back,SG Lewis & Gallant
567,"04.12.2021,23.33 Uhr",From: Disco to: Disco,Whirlpool Productions
568,"04.12.2021,23.39 Uhr",BED,Joel Corry x RAYE x David Guetta
569,"04.12.2021,23.43 Uhr",Phil Drums in the Mix Vol. 566,DJ Phil Drums
570,"05.12.2021,00.04 Uhr",My universe,Coldplay x BTS
571,"05.12.2021,00.08 Uhr",Changes,Faul & Wad Ad vs. Pnau
572,"05.12.2021,00.12 Uhr",Too much,Matt Simons
573,"05.12.2021,00.16 Uhr",All I want for Christmas is you,Mariah Carey
574,"05.12.2021,00.20 Uhr",Take you dancing,Jason Derulo
575,"05.12.2021,00.24 Uhr",Real face,Sofia Portanet
576,"05.12.2021,00.27 Uhr",No son of mine,Genesis
577,"05.12.2021,00.34 Uhr",Whatever it takes,Milow
578,"05.12.2021,00.37 Uhr",Mercy,Duffy
579,"05.12.2021,00.42 Uhr",Heat waves,Glass Animals
580,"05.12.2021,00.45 Uhr",Rolling in the deep,Adele
581,"05.12.2021,00.48 Uhr",Run,Onerepublic
582,"05.12.2021,00.51 Uhr",Don't leave me alone,David Guetta feat. Anne-Marie
583,"05.12.2021,00.57 Uhr",Bonnie & Clyde,Henning Wehland Sarah Connor
584,"05.12.2021,01.07 Uhr",Far away,Nickelback
585,"05.12.2021,01.17 Uhr",Christmas (Baby please come home),U2
586,"05.12.2021,01.26 Uhr",Nights like this,St. Lundi
587,"05.12.2021,01.29 Uhr",Satellite,Lena Meyer-Landrut
588,"05.12.2021,01.38 Uhr",Alright,Alle Farben feat. Kiddo
589,"05.12.2021,01.40 Uhr",It's raining men,The Weather Girls
590,"05.12.2021,01.46 Uhr",Unconditionally,Katy Perry
591,"05.12.2021,01.49 Uhr",Leave a light on,Tom Walker
592,"05.12.2021,02.04 Uhr",Bad habits,Ed Sheeran
593,"05.12.2021,02.08 Uhr",Are you lonely,Welshly Arms
594,"05.12.2021,02.47 Uhr",Last Christmas,Wham!
595,"05.12.2021,02.47 Uhr",Rolling in the deep,Adele
596,"05.12.2021,02.48 Uhr",Shallow,Lady Gaga & Bradley Cooper
597,"05.12.2021,02.54 Uhr",Stack it up,Liam Payne feat. A Boogie wit da Hoodie
598,"05.12.2021,03.04 Uhr",Love again,Dua Lipa
599,"05.12.2021,03.08 Uhr",Rather be you,Tom Gregory
600,"05.12.2021,03.18 Uhr",I swear to god,Maël & Jonas
601,"05.12.2021,03.11 Uhr",Out out,Joel Corry feat. Charli XCX & Saweetie
602,"05.12.2021,03.14 Uhr",Santa Claus is comin' to town,Bruce Springsteen
603,"05.12.2021,03.22 Uhr",Habit,Laurell
604,"05.12.2021,03.25 Uhr",Jein,Fettes Brot
605,"05.12.2021,03.37 Uhr",Friendships (Lost my love),Pascal Letoublon feat. Leony
606,"05.12.2021,03.47 Uhr",I believe in you,Michael Bublé
607,"05.12.2021,03.57 Uhr",Don't be shy,Tiësto
608,"05.12.2021,04.07 Uhr",Holy,Deaf Havana
609,"05.12.2021,04.29 Uhr",Kandi,One Eskimo
610,"05.12.2021,04.38 Uhr",Stupid girl,Garbage
611,"05.12.2021,04.46 Uhr",Lost on you,LP
612,"05.12.2021,04.55 Uhr",Where are you now,Lost Frequencies X Calum Scott
613,"05.12.2021,05.07 Uhr",Love tonight,Shouse
614,"05.12.2021,05.17 Uhr",Dancing in the dirt,Glockenbach & Mougleta
615,"05.12.2021,05.28 Uhr",Amazing,Seal
616,"05.12.2021,05.35 Uhr",Caught in the middle,Anastacia
617,"05.12.2021,05.43 Uhr",All alone on Christmas,Darlene Love
618,"05.12.2021,05.56 Uhr",Only wanna be with you,Post Malone
619,"05.12.2021,06.05 Uhr",All I need,Michael Schulte
620,"05.12.2021,06.13 Uhr",Bad Habits,Ed Sheeran
621,"05.12.2021,06.24 Uhr",Friendships (Lost My Love),Pascal Letoublon feat. Leony
622,"05.12.2021,06.35 Uhr",First day of my life,Melanie C
623,"05.12.2021,06.42 Uhr",Christmas without you,Ava Max
624,"05.12.2021,06.53 Uhr",DeLorean,Milow
625,"05.12.2021,07.05 Uhr",Would I lie to you,Nico Santos
626,"05.12.2021,07.13 Uhr",My Universe,Coldplay X BTS
627,"05.12.2021,07.22 Uhr",It’ll Be Okay,Shawn Mendes
628,"05.12.2021,07.31 Uhr",Easy on me,Adele
629,"05.12.2021,07.43 Uhr",Blurry eyes,Michael Patrick Kelly
630,"05.12.2021,07.50 Uhr",When love takes over,David Guetta feat. Kelly Rowland
631,"05.12.2021,07.56 Uhr",Driving home for Christmas,Chris Rea
632,"05.12.2021,08.12 Uhr",Like a prayer,Madonna
633,"05.12.2021,08.21 Uhr",Footprints,Tom Gregory
634,"05.12.2021,08.28 Uhr",Auf uns,Andreas Bourani
635,"05.12.2021,08.39 Uhr",Supergirl,Reamonn
636,"05.12.2021,08.45 Uhr",Alright,Alle Farben feat. KIDDO
637,"05.12.2021,08.56 Uhr",Love again,Dua Lipa
638,"05.12.2021,09.05 Uhr",Scars to your beautiful,Alessia Cara
639,"05.12.2021,09.16 Uhr",Faded Love,Leony
640,"05.12.2021,09.26 Uhr",Higher power,Coldplay
641,"05.12.2021,09.34 Uhr",Snow (Hey oh),Red Hot Chili Peppers
642,"05.12.2021,09.45 Uhr",Mother's heart,Stefanie Heinzmann
643,"05.12.2021,09.54 Uhr",Follow me,Uncle Kracker
644,"05.12.2021,10.05 Uhr",Stay,The Kid LAROI & Justin Bieber
645,"05.12.2021,10.07 Uhr",Murder on the dancefloor,Sophie Ellis-Bextor
646,"05.12.2021,10.14 Uhr",Happy,Pharrell Williams
647,"05.12.2021,10.22 Uhr",DeLorean,Milow
648,"05.12.2021,10.33 Uhr",Sign of the times,Harry Styles
649,"05.12.2021,10.44 Uhr",Happy Xmas,John Lennon
650,"05.12.2021,10.52 Uhr",Whataya want from me,Adam Lambert
651,"05.12.2021,10.56 Uhr",Control,Zoe Wees
652,"05.12.2021,11.09 Uhr",Christmas without you,OneRepublic
653,"05.12.2021,11.19 Uhr",The way it is,Bruce Hornsby
654,"05.12.2021,10.49 Uhr",Dopamine,Purple Disco Machine feat. Eyelar
655,"05.12.2021,11.05 Uhr",Senorita,Shawn Mendes feat. Camila Cabello
656,"05.12.2021,11.16 Uhr",Love tonight,Shouse
657,"05.12.2021,11.26 Uhr",The truth,James Blunt
658,"05.12.2021,11.31 Uhr",Cold heart (PNAU Remix),Elton John & Dua Lipa
659,"05.12.2021,11.35 Uhr",The power of love,Frankie goes to Hollywood
660,"05.12.2021,11.47 Uhr",Geile Zeit,Juli
661,"05.12.2021,11.56 Uhr",Hungry eyes,Eric Carmen
662,"05.12.2021,11.44 Uhr",My Universe,Coldplay X BTS
663,"05.12.2021,11.53 Uhr",Friendships (Lost My Love),Pascal Letoublon feat. Leony
664,"05.12.2021,12.05 Uhr",Bad Habits,Ed Sheeran
665,"05.12.2021,12.08 Uhr",Rise,Gabrielle
666,"05.12.2021,12.15 Uhr",Heartbreak century,Sunrise Avenue
667,"05.12.2021,12.28 Uhr",Do they know it`s Christmas,Band Aid
668,"05.12.2021,12.35 Uhr",Marry you,Bruno Mars
669,"05.12.2021,12.46 Uhr",Valerie,Amy Winehouse & Marc Ronson
670,"05.12.2021,12.58 Uhr",Dance Monkey,Tones And I
671,"05.12.2021,13.06 Uhr",Easy on me,Adele
672,"05.12.2021,13.12 Uhr",Save your tears,The Weeknd
673,"05.12.2021,13.24 Uhr",Supreme,Robbie Williams
674,"05.12.2021,13.33 Uhr",Whatever it takes,Milow
675,"05.12.2021,13.40 Uhr",Alright,Alle Farben feat. KIDDO
676,"05.12.2021,13.54 Uhr",Colorado,Milky Chance
677,"05.12.2021,14.05 Uhr",Higher power,Coldplay
678,"05.12.2021,13.36 Uhr",Blow me (one last kiss),Pink
679,"05.12.2021,13.46 Uhr",Empire state of mind (Part 2),Alicia Keys
680,"05.12.2021,13.50 Uhr",My only wish (this year),Britney Spears
681,"05.12.2021,13.57 Uhr",Do you really want to hurt me,Culture Club
682,"05.12.2021,14.08 Uhr",Lass uns gehen,Revolverheld
683,"05.12.2021,14.11 Uhr",Winter Wonderland,Eurythmics
684,"05.12.2021,14.23 Uhr",Chasing cars,Snow Patrol
685,"05.12.2021,14.30 Uhr",Can't stop the feeling!,Justin Timberlake
686,"05.12.2021,14.39 Uhr",Every breath you take,The Police
687,"05.12.2021,14.49 Uhr",Habit,Laurell
688,"05.12.2021,14.57 Uhr",Wonderful dream,Melanie Thornton
689,"05.12.2021,15.10 Uhr",Shake up christmas,Train
690,"05.12.2021,15.19 Uhr",Dancing in the moonlight,Toploader
691,"05.12.2021,15.26 Uhr",Little Things,Abba
692,"05.12.2021,15.39 Uhr",Safe,Nico Santos
693,"05.12.2021,15.49 Uhr",ily (i love you baby),Surf Mesa feat. Emilee
694,"05.12.2021,15.57 Uhr",DeLorean,Milow
695,"05.12.2021,16.06 Uhr",Stay,The Kid LAROI & Justin Bieber
696,"05.12.2021,16.11 Uhr",Complicated,Avril Lavigne
697,"05.12.2021,16.20 Uhr",We are the world,USA for Africa
698,"05.12.2021,16.34 Uhr",194 Länder,Mark Forster
699,"05.12.2021,16.44 Uhr",Take my breath,The Weeknd
700,"05.12.2021,16.54 Uhr",Let's love,David Guetta feat. Sia
701,"05.12.2021,16.58 Uhr","Rudolph, the red-nosed reindeer",Dean Martin
702,"05.12.2021,17.14 Uhr",Footprints,Tom Gregory
703,"05.12.2021,17.25 Uhr",I'm easy,Faith No More
704,"05.12.2021,17.34 Uhr",Giants,Dermot Kennedy
705,"05.12.2021,17.41 Uhr",Heart skips a beat,Olly Murs
706,"05.12.2021,17.50 Uhr",Torn,Natalie Imbruglia
707,"05.12.2021,17.58 Uhr",Would I lie to you,Nico Santos
708,"05.12.2021,18.10 Uhr",Radio ga ga,Queen
709,"05.12.2021,18.23 Uhr",Blurry eyes,Michael Patrick Kelly
710,"05.12.2021,18.32 Uhr",Savage Love,Jawsh 685 feat. Jason Derulo
711,"05.12.2021,18.39 Uhr",Love tonight,Shouse
712,"05.12.2021,18.50 Uhr",Where are you now,Lost Frequencies x Calum Scott
713,"05.12.2021,18.57 Uhr",FourFiveSeconds,Rihanna feat. Kanye West & Paul McCartney
714,"05.12.2021,19.09 Uhr",Wonderful life,Hurts
715,"05.12.2021,19.20 Uhr",Grauer Schnee,Broilers
716,"05.12.2021,19.26 Uhr",Friday I'm in love,The Cure
